City,GPS DD,MGRS,,,,,longitude DD,GPS UTM
Paris,"48.8566, 2.3522",31U 448251 5411932,,,,,2.3522,31U 448251 5411932
London,"51.5074, -0.1278",30U 699375 5713357,,,,,-0.1278,30U 699375 5713357
Rome,"41.9028, 12.4964",33T 291753 4641077,,,,,12.4964,33T 291753 4641077
Berlin,"52.5200, 13.4050",33U 389146 5829814,,,,,13.405,33U 389146 5829814
Madrid,"40.4168, -3.7038",30T 441775 4473965,,,,,-3.7038,30T 441775 4473965
Cape Town,"-33.9249, 18.4241",34H 261878 6244078,,,,,18.4241,34H 261878 6244078
Nairobi,"-1.2864, 36.8172",37M 252420 9853774,,,,,36.8172,37M 252420 9853774
Lagos,"6.5244, 3.3792",31N 541700 721912,,,,,3.3792,31N 541700 721912
Cairo,"30.0444, 31.2357",36R 331468 3324038,,,,,31.2357,36R 331468 3324038
Johannesburg,"-26.2041, 28.0473",35J 615682 7098780,,,,,28.0473,35J 615682 7098780
