GPS examples,Latitude,Longitude,Country,Country
"48° 51' 24.0"" N, 2° 21' 03.0"" E",,2.35083,France,France
"34.0522° N, 6.8326° W",,-6.8326,Morocco,Morocco
"51° 30' 26"" N, 0° 7' 39"" W",,-0.1275,United Kingdom,United Kingdom
"40.4168° N, 3.7038° W",,-3.7038,Spain,Spain
"33° 55' 12"" S, 18° 25' 12"" E",,18.42,South Africa,South Africa
"41.9028° N, 12.4964° E",41.9028,12.4964,Italy,Italy
30N 736085 4550362,41.07026,-0.19003,Spain,Spain
"6° 16' 28.2"" N, 10° 45' 43.2"" W",6.2745,-10.762,Liberia,Liberia
"35°41'24.0""N 139°41'31.2""E",35.6897,139.6917,Thai_DMS-Japan_DD,Thai_DMS-Japan_DD
"52.5200° N, 13.4050° E",52.52,13.405,Germany,Germany
